"id","block","order"
581,"Second",1
641,"First",2
161,"Second",3
821,"First",4
239,"Second",5
744,"Second",6
962,"Second",7
760,"First",8
438,"Second",9
164,"Second",10
354,"Second",11
996,"First",12
173,"Second",13
654,"First",14
214,"First",15
298,"Second",16
55,"First",17
494,"Second",18
989,"First",19
217,"Second",20
362,"First",21
876,"Second",22
918,"Second",23
912,"First",24
176,"Second",25
53,"First",26
716,"First",27
259,"Second",28
926,"Second",29
637,"First",30
692,"First",31
103,"Second",32
511,"Second",33
281,"First",34
90,"Second",35
695,"First",36
509,"First",37
535,"Second",38
867,"First",39
831,"First",40
84,"Second",41
765,"First",42
557,"Second",43
533,"Second",44
177,"First",45
315,"Second",46
606,"First",47
597,"First",48
104,"Second",49
652,"First",50
235,"Second",51
992,"First",52
43,"Second",53
726,"First",54
909,"Second",55
175,"First",56
675,"First",57
493,"Second",58
59,"Second",59
889,"First",60
437,"First",61
553,"Second",62
169,"Second",63
586,"First",64
264,"Second",65
862,"First",66
732,"Second",67
226,"First",68
723,"Second",69
150,"First",70
453,"Second",71
355,"First",72
234,"Second",73
108,"First",74
809,"Second",75
988,"First",76
525,"Second",77
249,"First",78
188,"First",79
143,"Second",80
23,"First",81
545,"Second",82
803,"First",83
256,"Second",84
900,"First",85
921,"Second",86
370,"First",87
204,"Second",88
60,"Second",89
70,"First",90
787,"First",91
98,"Second",92
636,"First",93
956,"Second",94
194,"Second",95
223,"First",96
418,"First",97
432,"Second",98
467,"First",99
420,"Second",100
416,"First",101
360,"Second",102
833,"Second",103
623,"First",104
601,"First",105
215,"Second",106
519,"First",107
885,"Second",108
987,"First",109
680,"Second",110
410,"First",111
706,"Second",112
323,"Second",113
895,"First",114
563,"Second",115
731,"First",116
677,"First",117
190,"Second",118
121,"Second",119
457,"First",120
908,"First",121
585,"Second",122
890,"First",123
971,"Second",124
393,"Second",125
118,"First",126
845,"First",127
122,"Second",128
195,"First",129
614,"Second",130
383,"Second",131
266,"First",132
579,"Second",133
816,"First",134
265,"First",135
183,"Second",136
764,"First",137
628,"Second",138
332,"First",139
442,"Second",140
28,"First",141
522,"Second",142
207,"Second",143
305,"First",144
659,"First",145
932,"Second",146
15,"Second",147
129,"First",148
802,"Second",149
742,"First",150
128,"First",151
947,"Second",152
745,"Second",153
565,"First",154
12,"Second",155
19,"First",156
130,"First",157
436,"Second",158
986,"First",159
